Drivers,Rarity,Drop_Rates,Min,Max
Magnussen,Common,4.1,15,38
Latifi,Common,3.5,10,38
Zhou,Common,3.0,10,38
Albon,Rare,4.1,1,6
Schumacher,Epic,0.3,1,1
Albon,Common,4.1,10,39
Stroll,Common,3.8,11,39
Schumacher,C,3.9,19,39
Tsunoda,C,3.7,11,38
Zhou,R,6.5,1,6
Ricciardo,C,3.9,10,38
Ocon,C,3.4,11,39
Vettel,C,4.3,12,39
Bottas,C,3.7,9,39
Magnussen,R,5.5,1,6
Sainz,C,3.8,11,38
Alonso,C,3.1,9,39
Gasly,C,3.1,9,39
Perez,C,3.2,10,39
Zhou,E,0.6,1,1
Leclerc,C,3.8,10,39
Russell,C,2.9,14,39
Norris,C,3.5,9,39
Verstappen,C,3.1,13,39
Magnussen,E,0.4,1,1
Hamilton,C,4.5,10,39
Schumacher,R,3.9,1,6
Latifi,R,4.8,1,6
Tsunoda,R,4.5,1,6
Albon,E,0.1,1,1
Ocon,R,4.6,1,6
Stroll,R,5.0,1,6
Vettel,R,4.5,1,6
Bottas,R,4.2,1,6
Latifi,E,0.3,1,1
Ricciardo,R,4.1,1,6
Alonso,R,4.7,1,6
Gasly,R,4.9,1,6
Perez,R,4.7,1,6
Tsunoda,E,0.3,1,1
Sainz,R,3.6,1,6
Leclerc,R,4.3,1,6
Russell,R,6.0,1,6
Stroll,E,0.2,1,1
Bottas,E,0.3,1,1
Norris,R,4.0,1,6
Verstappen,R,5.3,1,6
Ricciardo,E,0.2,1,1
Ocon,E,0.7,1,1
Vettel,E,0.2,1,1
Hamilton,R,5.2,1,1
Sainz,E,0.7,1,1
Alonso,E,0.0,0,0
Gasly,E,0.1,1,1
Perez,E,0.3,1,1
Leclerc,E,0.5,1,1
Russell,E,0.2,1,1
Norris,E,0.1,1,1
Hamilton,E,0.5,1,1
Verstappen,E,0.1,1,1
Q.T.3,C,3.6,14,39
The Blast,C,3.3,10,38
The Clog,C,4.4,10,39
Harmony,R,5.4,1,6
The Striker,R,3.5,1,5
Orbit,C,4.0,10,38
The Shadow,C,4.2,9,39
The Crest,R,4.7,1,6
The Crunch,R,3.7,1,6
Titan,E,0.2,1,1
Temper,C,3.7,9,39
Blitz,R,3.6,1,6
Symbol,R,4.3,1,6
Tracer,E,0.6,1,1
The Phoenix,C,3.0,10,38
The Method,R,6.2,1,6
Quicksilver,E,0.1,1,1
The Strongbox,C,2.7,10,39
Spectre,R,5.6,1,6
ApeX,E,0.3,1,1
The Momentum,C,2.7,12,39
The Whirlpool,R,5.7,1,6
Prestige,E,0.1,1,1
The Renegade,C,3.7,10,39
The Prodigy,R,4.7,1,6
Mirage,E,0.4,1,1
Wild Boar,C,4.2,10,39
The Catalyst,R,3.7,1,6
Scorpion,E,0.4,1,1
Inferno 2.0,C,4.3,10,39
The Guerilla,R,4.8,1,6
The Jazz,E,0.4,1,1
Spirit,C,3.4,11,38
The Menace,R,5.7,1,6
C.L.A.W.,E,0.3,1,1
Flow,E,0.3,1,1
Hydra,E,0.3,1,1
The Vindicator,E,0.2,1,1
Leviathan,E,0.2,1,1
The Flux,E,0.3,1,1
True Grit,E,0.4,1,1
The Steamroller,E,0.0,0,0
