Name,Rarity,Level,Overtaking,Defending,Consistency,Fuel Use,Tyre Mgmt,Wet Ability,Total Value,Dry Quali,Series,Cards For Upgrade,Total Cards Needed,Coins For Upgrade,Total Coins Needed
Hamilton,Epic,8,77,78,80,71,75,73,454,301,12,400,785,378000000,1512000000
Norris,Epic,8,74,72,70,80,76,80,452,302,12,400,785,378000000,1512000000
Verstappen,Epic,8,80,76,74,72,78,71,451,306,12,400,785,378000000,1512000000
Russell,Epic,8,77,80,72,70,74,75,448,301,12,400,785,378000000,1512000000
Leclerc,Epic,8,71,70,77,75,80,73,446,296,12,400,785,378000000,1512000000
Hamilton,Epic,7,73,75,77,68,71,70,434,287,12,200,385,324000000,1134000000
Sainz,Epic,8,67,75,73,71,69,77,432,282,11,400,785,199500000,798000000
Verstappen,Epic,7,77,73,71,69,75,67,432,294,12,200,385,324000000,1134000000
Norris,Epic,7,71,69,67,76,72,75,430,288,12,200,385,324000000,1134000000
Gasly,Epic,8,72,76,69,71,74,67,429,293,11,400,785,199500000,798000000
Alonso,Epic,8,76,72,70,74,67,68,427,289,11,400,785,199500000,798000000
Russell,Epic,7,74,76,68,67,70,72,427,287,12,200,385,324000000,1134000000
Perez,Epic,8,70,68,75,66,72,74,425,276,11,400,785,199500000,798000000
Leclerc,Epic,7,68,66,74,72,75,70,425,281,12,200,385,324000000,1134000000
Hamilton,Epic,6,70,72,74,64,68,66,414,274,12,100,185,270000000,810000000
Sainz,Epic,7,64,71,70,68,66,73,412,269,11,200,385,171000000,598500000
Verstappen,Epic,6,73,70,68,66,71,64,412,280,12,100,185,270000000,810000000
Ricciardo,Epic,8,65,64,67,71,73,69,409,273,10,400,785,105000000,420000000
Gasly,Epic,7,69,73,65,67,71,64,409,280,11,200,385,171000000,598500000
Norris,Epic,6,67,65,64,73,69,71,409,274,12,100,185,270000000,810000000
Vettel,Epic,8,71,67,69,65,63,72,407,266,10,400,785,105000000,420000000
Alonso,Epic,7,72,69,67,71,63,65,407,275,11,200,385,171000000,598500000
Russell,Epic,6,71,72,65,63,67,69,407,273,12,100,185,270000000,810000000
Ocon,Epic,8,63,70,65,72,68,67,405,273,10,400,785,105000000,420000000
Perez,Epic,7,67,65,72,63,68,70,405,263,11,200,385,171000000,598500000
Leclerc,Epic,6,65,63,70,68,72,67,405,268,12,100,185,270000000,810000000
Hamilton,Epic,5,67,68,70,61,65,63,394,261,12,50,85,216000000,540000000
Sainz,Epic,6,61,68,66,64,62,70,391,255,11,100,185,142500000,427500000
Verstappen,Epic,5,70,66,64,62,68,61,391,266,12,50,85,216000000,540000000
Ricciardo,Epic,7,62,60,64,68,70,66,390,260,10,200,385,90000000,315000000
Gasly,Epic,6,66,70,62,64,68,60,390,268,11,100,185,142500000,427500000
Norris,Epic,5,64,62,60,70,66,68,390,262,12,50,85,216000000,540000000
Bottas,Epic,8,65,69,60,64,67,62,387,265,9,400,785,52500000,210000000
Vettel,Epic,7,67,64,65,62,60,69,387,253,10,200,385,90000000,315000000
Alonso,Epic,6,69,65,64,67,60,62,387,261,11,100,185,142500000,427500000
Russell,Epic,5,67,69,62,60,64,65,387,260,12,50,85,216000000,540000000
Stroll,Epic,8,69,65,63,61,60,67,385,255,9,400,785,52500000,210000000
Ocon,Epic,7,60,67,61,69,65,63,385,261,10,200,385,90000000,315000000
Perez,Epic,6,63,61,69,60,65,67,385,249,11,100,185,142500000,427500000
Leclerc,Epic,5,61,60,67,65,69,63,385,255,12,50,85,216000000,540000000
Hamilton,Epic,4,63,65,67,58,61,60,374,247,12,20,35,162000000,324000000
Sainz,Epic,5,57,65,63,61,59,67,372,242,11,50,85,114000000,285000000
Verstappen,Epic,4,67,63,61,59,65,57,372,254,12,20,35,162000000,324000000
Ricciardo,Epic,6,59,57,61,64,66,62,369,246,10,100,185,75000000,225000000
Gasly,Epic,5,62,66,59,61,64,57,369,253,11,50,85,114000000,285000000
Norris,Epic,4,61,59,57,66,62,64,369,248,12,20,35,162000000,324000000
Bottas,Epic,7,62,66,57,60,64,58,367,252,9,200,385,45000000,157500000
Vettel,Epic,6,64,60,62,58,57,66,367,239,10,100,185,75000000,225000000
Alonso,Epic,5,66,62,60,64,57,58,367,249,11,50,85,114000000,285000000
Russell,Epic,4,64,66,58,57,60,62,367,247,12,20,35,162000000,324000000
Tsunoda,Epic,8,64,60,65,62,58,56,365,244,8,400,785,26250000,105000000
Stroll,Epic,7,65,62,60,58,56,64,365,241,9,200,385,45000000,157500000
Ocon,Epic,6,56,64,58,65,62,60,365,247,10,100,185,75000000,225000000
Perez,Epic,5,60,58,65,56,62,64,365,236,11,50,85,114000000,285000000
Leclerc,Epic,4,58,56,64,62,65,60,365,241,12,20,35,162000000,324000000
Hamilton,Epic,3,60,62,64,54,58,56,354,234,12,10,15,108000000,162000000
Sainz,Epic,4,54,61,60,58,56,63,352,229,11,20,35,85500000,171000000
Verstappen,Epic,3,63,60,58,56,61,54,352,240,12,10,15,108000000,162000000
Hamilton,Rare,9,59,61,63,54,57,55,349,231,11,1000,1785,152000000,684000000
Ricciardo,Epic,5,55,54,57,61,63,59,349,233,10,50,85,60000000,150000000
Gasly,Epic,4,59,63,55,57,61,54,349,240,11,20,35,85500000,171000000
Norris,Epic,3,57,55,54,63,59,61,349,234,12,10,15,108000000,162000000
Bottas,Epic,6,59,62,53,57,61,55,347,239,9,100,185,37500000,112500000
Vettel,Epic,5,61,57,59,55,53,62,347,226,10,50,85,60000000,150000000
Alonso,Epic,4,62,59,57,61,53,55,347,235,11,20,35,85500000,171000000
Russell,Epic,3,61,62,55,53,57,59,347,233,12,10,15,108000000,162000000
Latifi,Epic,8,53,55,58,57,60,62,345,225,7,400,785,12390000,49560000
Tsunoda,Epic,7,60,57,62,58,55,53,345,230,8,200,385,22500000,78750000
Stroll,Epic,6,62,58,57,55,53,60,345,228,9,100,185,37500000,112500000
